country,total_cases,total_deaths,total_recovered,bri_country,region,continent,press_freedom_index_2020
Angola,36,2,11,bri_member,Middle Africa,Afica,33.92
Zimbabwe,34,4,5,bri_member,Eastern Africa,Afica,40.95
Antigua and Barbuda,25,3,16,bri_member,Caribbean,North America,
Timor-Leste,24,0,20,bri_member,South-Eastern Asia,Asian,2.99
Botswana,23,1,8,non_member,Southern Africa,Afica,23.56
Yemen,22,4,1,bri_member,Western Asian,Asian,58.25
Grenada,21,0,13,bri_member,Caribbean,North America,
Laos,19,0,9,bri_member,South-Eastern Asia,Asian,64.28
Belize,18,2,16,non_member,Central America,North America,2.75
Fiji,18,0,14,bri_member,Melanesia,Oceania,27.41
New Caledonia,18,0,17,non_member,Melanesia,Oceania,
Saint Lucia,18,0,15,non_member,Caribbean,North America,
Gambia,17,1,9,bri_member,Western Africa,Afica,30.62
St. Vincent Grenadines,17,0,9,non_member,Caribbean,North America,
Nicaragua,16,5,7,non_member,Central America,North America,35.81
Curaçao,16,1,13,non_member,Caribbean,North America,
Dominica,16,0,14,bri_member,Caribbean,North America,
Namibia,16,0,8,bri_member,Southern Africa,Afica,19.25
Burundi,15,1,7,bri_member,Eastern Africa,Afica,55.33
Saint Kitts and Nevis,15,0,12,non_member,Caribbean,North America,
Falkland Islands,13,0,13,non_member,South America,South America,
Turks and Caicos,12,1,6,non_member,Caribbean,North America,
Montserrat,11,1,7,non_member,Caribbean,North America,
Greenland,11,0,11,non_member,Northern America,North America,
Vatican City,11,0,2,non_member,Southern Europe,Europe,
Seychelles,11,0,8,bri_member,Eastern Africa,Afica,28.66
Suriname,10,1,9,bri_member,South America,South America,1.75
Mauritania,8,1,6,bri_member,Western Africa,Afica,32.54
Papua New Guinea,8,0,8,bri_member,Melanesia,Oceania,23.93
Bhutan,7,0,5,non_member,Southern Asia,Asian,2.89
British Virgin Islands,6,1,3,non_member,Caribbean,North America,
Caribbean Netherlands,6,0,0,non_member,Caribbean,North America,
St. Barth,6,0,6,non_member,Caribbean,North America,
Western Sahara,6,0,5,non_member,Northern Africa,Afica,
Anguilla,3,0,3,non_member,Caribbean,North America,
Comoros,3,0,0,bri_member,Eastern Africa,Afica,29.77
Saint Pierre Miquelon,1,0,0,non_member,Northern America,North America,
